elastomero,,
temperatura,deformacion,esfuerzo
90,24.4,8.87
90,26.87,9.13
90,29.34,9.36
90,31.81,9.56
90,33.67,9.69
90,36.14,9.86
90,38.61,10.02
90,41.08,10.15
90,43.55,10.3
90,46.02,10.42
90,48.49,10.55
90,50.96,10.68
90,52.81,10.76
90,55.28,10.88
90,57.76,11
90,60.23,11.11
90,62.7,11.23
90,65.17,11.33
90,67.64,11.45
90,70.11,11.55
90,72.58,11.66
90,74.43,11.74
90,76.9,11.84
90,79.38,11.95
90,81.85,12.05
90,84.32,12.16
90,86.79,12.26
90,89.26,12.36
90,91.73,12.47
90,94.2,12.56
90,96.05,12.63
90,98.52,12.73
90,101,12.83
90,103.47,12.93
90,105.94,13.03
90,108.41,13.13
90,110.88,13.22
90,113.35,13.31
90,115.2,13.38
90,117.67,13.47
90,120.14,13.56
90,122.61,13.64
90,125.09,13.74
90,127.56,13.82
90,130.03,13.91
90,132.5,13.98
90,134.97,14.09
90,136.82,14.13
90,139.29,14.22
90,141.76,14.29
90,144.23,14.37
90,146.71,14.45
90,149.18,14.52
90,151.65,14.6
100,0,0
100,2.09,1.55
100,3.88,2.54
100,6.27,3.68
100,8.06,4.39
100,9.86,5.01
100,11.65,5.54
100,14.04,6.12
100,15.83,6.5
100,17.62,6.82
100,19.41,7.11
100,21.8,7.44
100,23.59,7.66
100,25.39,7.85
100,27.18,8.03
100,29.57,8.24
100,31.36,8.38
100,33.15,8.5
100,34.94,8.64
100,36.74,8.76
100,39.13,8.91
100,40.92,9.01
100,42.71,9.12
100,44.5,9.22
100,46.89,9.34
100,48.68,9.44
100,50.47,9.53
100,52.27,9.61
100,54.66,9.73
100,56.45,9.82
100,58.24,9.9
100,60.03,9.98
100,62.42,10.1
100,64.21,10.17
100,66,10.25
100,67.8,10.33
100,70.19,10.44
100,71.98,10.52
100,73.77,10.59
100,75.56,10.67
100,77.35,10.74
100,79.74,10.84
100,81.54,10.92
100,83.33,10.99
100,85.12,11.07
100,87.51,11.16
100,89.3,11.24
100,91.09,11.31
100,92.88,11.39
100,95.27,11.47
100,97.07,11.53
100,98.86,11.6
100,100.65,11.68
100,103.04,11.77
100,104.83,11.84
100,106.62,11.9
100,108.42,11.97
100,110.21,12.03
100,112.6,12.13
100,114.39,12.19
100,116.18,12.25
100,117.97,12.32
100,120.36,12.4
100,122.15,12.46
100,123.95,12.51
100,125.74,12.57
100,128.13,12.66
100,129.92,12.72
100,131.71,12.77
100,133.5,12.83
100,135.89,12.9
100,137.68,12.95
100,139.48,12.99
100,141.27,13.04
100,143.66,13.1
100,145.45,13.15
120,0,0
120,2.71,1.7
120,4.51,2.53
120,6.92,3.43
120,9.33,4.18
120,11.14,4.65
120,13.54,5.16
120,15.95,5.58
120,17.76,5.83
120,20.16,6.14
120,22.57,6.39
120,24.38,6.55
120,26.79,6.75
120,29.19,6.92
120,31,7.05
120,33.41,7.19
120,35.21,7.29
120,37.62,7.42
120,40.03,7.55
120,41.83,7.63
120,44.24,7.74
120,46.65,7.84
120,48.45,7.91
120,50.86,8.02
120,53.27,8.12
120,55.08,8.18
120,57.48,8.29
120,59.89,8.38
120,61.7,8.45
120,64.1,8.54
120,66.51,8.63
120,68.32,8.7
120,70.73,8.79
120,73.13,8.87
120,74.94,8.94
120,77.35,9.03
120,79.75,9.12
120,81.56,9.18
120,83.97,9.27
120,86.38,9.35
120,88.18,9.41
120,90.59,9.5
120,93,9.59
120,94.8,9.64
120,97.21,9.73
120,99.02,9.79
120,101.42,9.87
120,103.83,9.95
120,105.64,10.01
120,108.04,10.09
120,110.45,10.18
120,112.26,10.23
120,114.67,10.31
120,117.07,10.38
120,118.88,10.43
120,121.29,10.51
120,123.69,10.58
120,125.5,10.63
120,127.91,10.7
120,130.32,10.76
120,132.12,10.8
120,134.53,10.86
120,136.94,10.92
120,138.74,10.97
120,141.15,11.02
120,143.56,11.07
120,145.36,11.1
120,147.77,11.16
120,150.18,11.19
160,0,0
160,12,3.29
160,16.33,3.8
160,20.64,4.17
160,25.04,4.46
160,29.42,4.7
160,33.88,4.91
160,38.29,5.09
160,42.77,5.27
160,47.21,5.44
160,51.66,5.6
160,56.03,5.76
160,60.39,5.91
160,64.74,6.06
160,68.93,6.21
160,73.15,6.37
160,77.3,6.51
160,81.4,6.66
160,85.36,6.8
160,89.21,6.93
160,92.93,7.07
160,96.52,7.2
160,100.05,7.33
160,103,7.41
160,104.85,7.46
160,106.7,7.5
160,108.54,7.54
160,110.39,7.58
160,112.24,7.63
160,114.09,7.67
160,116.86,7.73
160,118.71,7.77
160,120.55,7.82
160,122.4,7.85
160,124.25,7.89
160,126.1,7.93
160,127.94,7.97
160,129.79,8
160,131.64,8.03
160,133.49,8.07
160,135.33,8.09
160,138.11,8.12
160,139.95,8.14
160,141.8,8.16
160,143.65,8.18
160,145.5,8.21
